osmid,y,x,street_count,highway,geometry
268215805,46.7805539,23.6265781,3,,POINT (23.6265781 46.7805539)
268215915,46.7781651,23.6199298,3,,POINT (23.6199298 46.7781651)
268215956,46.7800228,23.6201098,3,,POINT (23.6201098 46.7800228)
268216123,46.7795333,23.6215797,3,,POINT (23.6215797 46.7795333)
268216346,46.7793464,23.6192638,3,,POINT (23.6192638 46.7793464)
268216347,46.7792725,23.6191718,3,,POINT (23.6191718 46.7792725)
268216350,46.7788979,23.6192509,3,,POINT (23.6192509 46.7788979)
268216355,46.7794299,23.6205266,3,,POINT (23.6205266 46.7794299)
268216393,46.7790037,23.6200712,3,,POINT (23.6200712 46.7790037)
268216585,46.7795459,23.6199064,3,,POINT (23.6199064 46.7795459)
268217082,46.7799498,23.6267947,3,,POINT (23.6267947 46.7799498)
268217092,46.7908818,23.637645,1,,POINT (23.637645 46.7908818)
268217097,46.7869181,23.6392868,3,,POINT (23.6392868 46.7869181)
268561115,46.752284,23.5649405,3,,POINT (23.5649405 46.752284)
274736078,46.76252,23.6049285,3,,POINT (23.6049285 46.76252)
274737784,46.766274,23.6009957,4,,POINT (23.6009957 46.766274)
274738330,46.7637887,23.6065372,3,,POINT (23.6065372 46.7637887)
274739581,46.7656042,23.5992829,3,,POINT (23.5992829 46.7656042)
274740896,46.7647773,23.6034941,1,,POINT (23.6034941 46.7647773)
276278035,46.7776441,23.6821594,3,,POINT (23.6821594 46.7776441)
276278048,46.7784498,23.666199,3,,POINT (23.666199 46.7784498)
276278057,46.7779393,23.6517081,3,,POINT (23.6517081 46.7779393)
277101813,46.7897556,23.6475108,3,,POINT (23.6475108 46.7897556)
277101814,46.7891845,23.6472425,3,,POINT (23.6472425 46.7891845)
277101815,46.788708,23.6460596,3,,POINT (23.6460596 46.788708)
277101977,46.7857813,23.6046575,3,,POINT (23.6046575 46.7857813)
277101978,46.7856744,23.6058956,3,,POINT (23.6058956 46.7856744)
277102090,46.7860523,23.604914,3,,POINT (23.604914 46.7860523)
277102276,46.7853442,23.6122481,4,,POINT (23.6122481 46.7853442)
277102278,46.7856671,23.6131045,4,crossing,POINT (23.6131045 46.7856671)
277102279,46.7857096,23.613224,3,,POINT (23.613224 46.7857096)
277297752,46.7679491,23.6092518,3,,POINT (23.6092518 46.7679491)
277297757,46.7672366,23.6060973,3,,POINT (23.6060973 46.7672366)
277297758,46.767623,23.6078286,3,,POINT (23.6078286 46.767623)
277715035,46.7707346,23.5657185,4,,POINT (23.5657185 46.7707346)
277715043,46.7670248,23.5754912,3,,POINT (23.5754912 46.7670248)
277715267,46.7655416,23.573893,3,,POINT (23.573893 46.7655416)
277715270,46.7643132,23.5743081,3,,POINT (23.5743081 46.7643132)
277715271,46.7649711,23.5722274,3,,POINT (23.5722274 46.7649711)
277715272,46.7653924,23.5724252,3,,POINT (23.5724252 46.7653924)
278394548,46.7592102,23.5432757,3,,POINT (23.5432757 46.7592102)
278394833,46.7565819,23.5408575,3,,POINT (23.5408575 46.7565819)
278394873,46.766403,23.5541897,3,traffic_mirror,POINT (23.5541897 46.766403)
278394924,46.7696627,23.5553395,3,,POINT (23.5553395 46.7696627)
278394926,46.7691193,23.5542116,3,,POINT (23.5542116 46.7691193)
278395291,46.7812749,23.561821,3,,POINT (23.561821 46.7812749)
278395309,46.7684259,23.5487925,3,,POINT (23.5487925 46.7684259)
278395805,46.7727243,23.5600913,4,,POINT (23.5600913 46.7727243)
278396204,46.7714339,23.6297438,1,,POINT (23.6297438 46.7714339)
278396205,46.7701085,23.6278699,3,,POINT (23.6278699 46.7701085)
279127451,46.7651551,23.6202225,3,,POINT (23.6202225 46.7651551)
279127499,46.762925,23.6094903,4,,POINT (23.6094903 46.762925)
279127503,46.7647687,23.6176573,4,,POINT (23.6176573 46.7647687)
279127537,46.7575613,23.6129626,3,,POINT (23.6129626 46.7575613)
279127538,46.7577992,23.61258,3,,POINT (23.61258 46.7577992)
279127540,46.7597,23.6150088,4,,POINT (23.6150088 46.7597)
279843113,46.7677234,23.6245425,3,,POINT (23.6245425 46.7677234)
279843124,46.7661231,23.6198165,3,,POINT (23.6198165 46.7661231)
280408474,46.7766023,23.5935366,3,,POINT (23.5935366 46.7766023)
280408519,46.7740451,23.5994956,4,,POINT (23.5994956 46.7740451)
280408546,46.7803127,23.5992301,4,traffic_signals,POINT (23.5992301 46.7803127)
280408595,46.7842045,23.6391048,3,,POINT (23.6391048 46.7842045)
287210818,46.7560147,23.5484846,3,,POINT (23.5484846 46.7560147)
287210820,46.7545723,23.5430486,3,,POINT (23.5430486 46.7545723)
287210822,46.7589478,23.5517907,3,,POINT (23.5517907 46.7589478)
287211343,46.7558588,23.5485917,3,,POINT (23.5485917 46.7558588)
287211347,46.7627028,23.5527342,4,,POINT (23.5527342 46.7627028)
287213281,46.7585399,23.5462111,4,,POINT (23.5462111 46.7585399)
287213554,46.7656008,23.5502569,3,,POINT (23.5502569 46.7656008)
287213700,46.7516016,23.5510963,3,,POINT (23.5510963 46.7516016)
287213771,46.7509947,23.5508024,3,,POINT (23.5508024 46.7509947)
287213893,46.7517573,23.5480895,3,,POINT (23.5480895 46.7517573)
287213897,46.7514227,23.5458602,3,,POINT (23.5458602 46.7514227)
287213919,46.7501934,23.5434322,1,,POINT (23.5434322 46.7501934)
287214102,46.7509074,23.5487186,3,,POINT (23.5487186 46.7509074)
287214214,46.7550975,23.545415,3,,POINT (23.545415 46.7550975)
287214263,46.7588889,23.5554227,2,,POINT (23.5554227 46.7588889)
287214404,46.754571,23.5510271,2,,POINT (23.5510271 46.754571)
287215737,46.7569568,23.5663068,3,,POINT (23.5663068 46.7569568)
287215799,46.762521,23.5641608,3,,POINT (23.5641608 46.762521)
287215800,46.7628414,23.565617,1,,POINT (23.565617 46.7628414)
287215904,46.7614754,23.5648933,3,,POINT (23.5648933 46.7614754)
287792367,46.7686385,23.6188377,3,,POINT (23.6188377 46.7686385)
288720090,46.7680198,23.568499,3,,POINT (23.568499 46.7680198)
289643547,46.7584256,23.6077156,3,,POINT (23.6077156 46.7584256)
289643548,46.7615639,23.6117932,4,,POINT (23.6117932 46.7615639)
289643643,46.7831558,23.6381567,3,,POINT (23.6381567 46.7831558)
289645230,46.7821073,23.5857489,3,,POINT (23.5857489 46.7821073)
289645851,46.7744201,23.5707275,3,,POINT (23.5707275 46.7744201)
289646078,46.7805125,23.5873124,3,,POINT (23.5873124 46.7805125)
289646122,46.7761198,23.5899737,4,traffic_signals,POINT (23.5899737 46.7761198)
289646127,46.7812072,23.5918433,3,,POINT (23.5918433 46.7812072)
289646131,46.7820864,23.592216,3,,POINT (23.592216 46.7820864)
289646132,46.7823578,23.5917162,1,,POINT (23.5917162 46.7823578)
289646133,46.7809303,23.5900542,3,,POINT (23.5900542 46.7809303)
289738743,46.7865823,23.6440552,4,,POINT (23.6440552 46.7865823)
