y,x,street_count,highway,ref,junction,geometry
25.1512756,121.5618778,3,,,,POINT (121.5618778 25.1512756)
25.1776096,121.5572063,3,,,,POINT (121.5572063 25.1776096)
25.1848483,121.5581417,3,,,,POINT (121.5581417 25.1848483)
25.1901678,121.5712255,3,,,,POINT (121.5712255 25.1901678)
25.1426679,121.5590109,3,,,,POINT (121.5590109 25.1426679)
25.1379038,121.5465539,3,traffic_signals,,,POINT (121.5465539 25.1379038)
25.0902769,121.6004623,3,,,,POINT (121.6004623 25.0902769)
25.0881101,121.5993647,4,,,,POINT (121.5993647 25.0881101)
24.9765995,121.582594,2,,,,POINT (121.582594 24.9765995)
24.9871099,121.578303,3,traffic_signals,,,POINT (121.578303 24.9871099)
24.9876708,121.5756719,3,traffic_signals,,,POINT (121.5756719 24.9876708)
25.0424322,121.616983,4,traffic_signals,,,POINT (121.616983 25.0424322)
25.0390871,121.6216434,3,,,,POINT (121.6216434 25.0390871)
25.034194,121.6191459,3,traffic_signals,,,POINT (121.6191459 25.034194)
25.1115902,121.5628592,3,,,,POINT (121.5628592 25.1115902)
25.110944,121.5599973,3,,,,POINT (121.5599973 25.110944)
25.1064563,121.5630926,3,,,,POINT (121.5630926 25.1064563)
25.1074437,121.5646416,3,,,,POINT (121.5646416 25.1074437)
25.1076672,121.5689961,3,,,,POINT (121.5689961 25.1076672)
25.1193341,121.5827177,3,,,,POINT (121.5827177 25.1193341)
25.1246854,121.587676,3,traffic_signals,,,POINT (121.587676 25.1246854)
25.1133479,121.581622,3,,,,POINT (121.581622 25.1133479)
25.1057778,121.5791389,3,,,,POINT (121.5791389 25.1057778)
25.1039184,121.5806584,3,,,,POINT (121.5806584 25.1039184)
25.0889496,121.585253,3,,,,POINT (121.585253 25.0889496)
25.0887929,121.5860327,3,,,,POINT (121.5860327 25.0887929)
25.0866668,121.588543,3,traffic_signals,,,POINT (121.588543 25.0866668)
25.084306,121.5851375,3,traffic_signals,,,POINT (121.5851375 25.084306)
25.0183836,121.5376221,4,,,,POINT (121.5376221 25.0183836)
25.018402,121.5389625,4,,,,POINT (121.5389625 25.018402)
25.0262791,121.5315957,4,traffic_signals,,,POINT (121.5315957 25.0262791)
25.0264219,121.5316101,3,traffic_signals,,,POINT (121.5316101 25.0264219)
25.1675073,121.5401023,3,traffic_signals,,,POINT (121.5401023 25.1675073)
25.175617,121.5416192,3,,,,POINT (121.5416192 25.175617)
25.1158481,121.5834781,3,,,,POINT (121.5834781 25.1158481)
25.0977803,121.5888496,3,,,,POINT (121.5888496 25.0977803)
25.0956075,121.5862486,3,,,,POINT (121.5862486 25.0956075)
25.0893687,121.587884,1,,,,POINT (121.587884 25.0893687)
25.0886832,121.587498,4,,,,POINT (121.587498 25.0886832)
25.0881979,121.5869454,3,,,,POINT (121.5869454 25.0881979)
25.0800406,121.5618441,4,traffic_signals,,,POINT (121.5618441 25.0800406)
25.0799217,121.5602147,3,traffic_signals,,,POINT (121.5602147 25.0799217)
25.0855856,121.5528671,3,traffic_signals,,,POINT (121.5528671 25.0855856)
25.0688114,121.5842699,4,traffic_signals,,,POINT (121.5842699 25.0688114)
25.085395,121.5504621,3,,,,POINT (121.5504621 25.085395)
25.0862037,121.5503111,3,traffic_signals,,,POINT (121.5503111 25.0862037)
25.0862491,121.5501685,3,,,,POINT (121.5501685 25.0862491)
25.0857709,121.549491,3,traffic_signals,,,POINT (121.549491 25.0857709)
