y,x,street_count,highway,junction,railway,ref,geometry
48.8360773,2.3921752,3,,,,,POINT (2.3921752 48.8360773)
48.8336313,2.3948808,3,,,,,POINT (2.3948808 48.8336313)
48.8822538,2.2860644,3,,,,,POINT (2.2860644 48.8822538)
48.885683,2.2915029,4,,,,,POINT (2.2915029 48.885683)
48.8490538,2.4115116,5,,,,,POINT (2.4115116 48.8490538)
48.8534855,2.4105158,5,,,,,POINT (2.4105158 48.8534855)
48.8874974,2.2947714,4,traffic_signals,,,,POINT (2.2947714 48.8874974)
48.8910624,2.3025282,3,,,,,POINT (2.3025282 48.8910624)
48.8646564,2.4086357,3,,,,,POINT (2.4086357 48.8646564)
48.8679431,2.4088776,4,,,,,POINT (2.4088776 48.8679431)
48.8771874,2.4065457,5,traffic_signals,,,,POINT (2.4065457 48.8771874)
48.8777884,2.4056378,3,,,,,POINT (2.4056378 48.8777884)
48.8802663,2.4003829,3,,,,,POINT (2.4003829 48.8802663)
48.8806977,2.4000569,3,traffic_signals,,,,POINT (2.4000569 48.8806977)
48.8987244,2.3711722,4,,,,,POINT (2.3711722 48.8987244)
48.8836491,2.3969899,4,,,,,POINT (2.3969899 48.8836491)
48.8866017,2.3963119,3,,,,,POINT (2.3963119 48.8866017)
48.837661,2.3228758,3,,,,,POINT (2.3228758 48.837661)
48.8375443,2.3229222,4,traffic_signals,,,,POINT (2.3229222 48.8375443)
48.8324783,2.3249982,4,traffic_signals,,,,POINT (2.3249982 48.8324783)
48.8473362,2.3408464,4,traffic_signals,,,,POINT (2.3408464 48.8473362)
48.8488358,2.3417553,3,,,,,POINT (2.3417553 48.8488358)
48.8506264,2.3428034,4,traffic_signals,,,,POINT (2.3428034 48.8506264)
48.8508423,2.3455155,5,traffic_signals,,,,POINT (2.3455155 48.8508423)
48.8495986,2.3448446,4,traffic_signals,,,,POINT (2.3448446 48.8495986)
48.8473611,2.3436333,4,traffic_signals,,,,POINT (2.3436333 48.8473611)
48.8467973,2.3433478,4,traffic_signals,,,,POINT (2.3433478 48.8467973)
48.8443318,2.3420496,4,traffic_signals,,,,POINT (2.3420496 48.8443318)
48.8499851,2.3490085,4,traffic_signals,,,,POINT (2.3490085 48.8499851)
48.8495203,2.3528725,3,,,,,POINT (2.3528725 48.8495203)
48.851188,2.3626942,3,traffic_signals,,,,POINT (2.3626942 48.851188)
48.8561313,2.3404015,5,,,,,POINT (2.3404015 48.8561313)
48.8578087,2.3353064,3,traffic_signals;crossing,,,,POINT (2.3353064 48.8578087)
48.8582658,2.3332665,3,,,,,POINT (2.3332665 48.8582658)
48.8576193,2.3327512,3,,,,,POINT (2.3327512 48.8576193)
48.8544657,2.3304702,4,traffic_signals,,,,POINT (2.3304702 48.8544657)
48.8518682,2.3286248,3,traffic_signals,,,,POINT (2.3286248 48.8518682)
48.8507068,2.3252847,3,,,,,POINT (2.3252847 48.8507068)
48.8502335,2.32414,4,traffic_signals,,,,POINT (2.32414 48.8502335)
48.8482314,2.3201774,3,,,,,POINT (2.3201774 48.8482314)
48.8582212,2.3283353,4,,,,,POINT (2.3283353 48.8582212)
48.8588006,2.3287489,4,,,,,POINT (2.3287489 48.8588006)
48.8560436,2.3259635,4,,,,,POINT (2.3259635 48.8560436)
48.857698,2.323896,3,,,,,POINT (2.323896 48.857698)
48.85914,2.3202091,3,,,,,POINT (2.3202091 48.85914)
48.8597994,2.3181564,4,traffic_signals,,,,POINT (2.3181564 48.8597994)
48.8599658,2.3148365,4,traffic_signals,,,,POINT (2.3148365 48.8599658)
48.8599548,2.3131081,4,traffic_signals,,,,POINT (2.3131081 48.8599548)
48.8599384,2.3101795,4,,,,,POINT (2.3101795 48.8599384)
48.8496383,2.3079111,3,,,,,POINT (2.3079111 48.8496383)
48.8510287,2.3061301,4,,,,,POINT (2.3061301 48.8510287)
48.8494246,2.3037705,4,traffic_signals,,,,POINT (2.3037705 48.8494246)
48.8511732,2.3009297,5,traffic_signals,,,,POINT (2.3009297 48.8511732)
48.8547095,2.2953648,3,traffic_signals,,,,POINT (2.2953648 48.8547095)
48.8574919,2.2909874,3,traffic_signals,,,,POINT (2.2909874 48.8574919)
48.8605421,2.2956191,4,crossing,,,,POINT (2.2956191 48.8605421)
