osmid,y,x,street_count,highway,ref,junction,railway,geometry
4517491389,47.5023922,19.1562996,1,,,,,POINT (19.1562996 47.5023922)
4534119888,47.566723,19.0561727,3,,,,,POINT (19.0561727 47.566723)
4534123089,47.5670396,19.0562034,3,,,,,POINT (19.0562034 47.5670396)
4536078131,47.3985782,18.9963407,1,,,,,POINT (18.9963407 47.3985782)
4539657130,47.4540034,18.9861795,1,,,,,POINT (18.9861795 47.4540034)
4543652515,47.5957946,19.0524064,3,,,,,POINT (19.0524064 47.5957946)
4543652533,47.5732325,19.0483574,3,,,,,POINT (19.0483574 47.5732325)
4548468601,47.476956,19.0547194,1,,,,,POINT (19.0547194 47.476956)
4550328437,47.4620728,19.0417689,1,,,,,POINT (19.0417689 47.4620728)
4551311796,47.4605349,19.0568465,2,,,,,POINT (19.0568465 47.4605349)
4551498665,47.4595128,19.0335442,3,,,,,POINT (19.0335442 47.4595128)
4554537920,47.5093517,19.1716085,1,,,,,POINT (19.1716085 47.5093517)
4558368681,47.4317151,19.000963,3,,,,,POINT (19.000963 47.4317151)
4558368682,47.4316217,19.0012845,3,,,,,POINT (19.0012845 47.4316217)
4558540555,47.4292991,18.9959332,1,,,,,POINT (18.9959332 47.4292991)
4558725845,47.4704054,18.9854673,3,,,,,POINT (18.9854673 47.4704054)
4558759599,47.4375849,19.1536941,3,,,,,POINT (19.1536941 47.4375849)
4558759600,47.4372801,19.1544223,3,,,,,POINT (19.1544223 47.4372801)
4558759601,47.436948,19.1551549,3,,,,,POINT (19.1551549 47.436948)
4558906022,47.4695495,19.0389288,3,,,,,POINT (19.0389288 47.4695495)
4559955775,47.445788,19.131341,3,,,,,POINT (19.131341 47.445788)
4560295092,47.4325147,19.0419554,3,,,,,POINT (19.0419554 47.4325147)
4564697101,47.4709202,19.0382222,5,,,,,POINT (19.0382222 47.4709202)
4565655586,47.4636245,18.9993072,1,,,,,POINT (18.9993072 47.4636245)
4565655705,47.465153,18.9973375,3,,,,,POINT (18.9973375 47.465153)
4565655713,47.4630823,18.9990588,1,,,,,POINT (18.9990588 47.4630823)
