osmid,y,x,street_count,highway,ref,junction,railway,geometry
4850190676,41.4011938,2.113771,3,,,,,POINT (2.113771 41.4011938)
4850661055,41.4052535,2.1867235,3,,,,,POINT (2.1867235 41.4052535)
4852602038,41.4268306,2.1456274,3,,,,,POINT (2.1456274 41.4268306)
4858601144,41.3859243,2.124298,3,,,,,POINT (2.124298 41.3859243)
4870404269,41.4129602,2.1674248,3,crossing,,,,POINT (2.1674248 41.4129602)
4880337146,41.4105365,2.2148009,3,,,,,POINT (2.2148009 41.4105365)
4880337149,41.4104254,2.2148992,3,,,,,POINT (2.2148992 41.4104254)
4908316180,41.3735321,2.1470497,3,,,,,POINT (2.1470497 41.3735321)
4922624387,41.4138836,2.1870061,4,,,,,POINT (2.1870061 41.4138836)
4931844351,41.3756608,2.187184,3,,,,,POINT (2.187184 41.3756608)
4931851569,41.4186502,2.1728378,4,,,,,POINT (2.1728378 41.4186502)
4965780373,41.4546233,2.1924908,3,,,,,POINT (2.1924908 41.4546233)
4965780374,41.4544217,2.1921332,3,,,,,POINT (2.1921332 41.4544217)
4990469756,41.439224,2.2004573,3,,,,,POINT (2.2004573 41.439224)
4990469757,41.43885,2.2004949,4,,,,,POINT (2.2004949 41.43885)
4990469758,41.4379842,2.2006537,4,,,,,POINT (2.2006537 41.4379842)
4992822660,41.4276533,2.1842794,3,,,,,POINT (2.1842794 41.4276533)
4992822662,41.4277142,2.1825292,4,,,,,POINT (2.1825292 41.4277142)
4992914467,41.4369911,2.1815944,3,,,,,POINT (2.1815944 41.4369911)
4992937068,41.4395239,2.1835752,3,,,,,POINT (2.1835752 41.4395239)
4995013503,41.4487648,2.1856648,3,,,,,POINT (2.1856648 41.4487648)
4995013505,41.4488991,2.1858386,3,,,,,POINT (2.1858386 41.4488991)
4995013507,41.448957,2.1857837,3,,,,,POINT (2.1857837 41.448957)
4995013510,41.4490579,2.1858769,3,,,,,POINT (2.1858769 41.4490579)
4995013511,41.4490574,2.185919,3,,,,,POINT (2.185919 41.4490574)
4995013515,41.4489327,2.1859971,3,,,,,POINT (2.1859971 41.4489327)
5012384660,41.3958674,2.1110219,3,,,,,POINT (2.1110219 41.3958674)
5013455509,41.3995182,2.113324,3,,,,,POINT (2.113324 41.3995182)
5071160029,41.4116243,2.184335,3,give_way,,,,POINT (2.184335 41.4116243)
5094317308,41.3956753,2.1523461,3,,,,,POINT (2.1523461 41.3956753)
5099106008,41.3700476,2.1612578,1,,,,,POINT (2.1612578 41.3700476)
5100987047,41.449476,2.1813823,3,,,,,POINT (2.1813823 41.449476)
5162734736,41.3662016,2.1376104,3,traffic_signals,,,,POINT (2.1376104 41.3662016)
5163670090,41.3672931,2.1400725,3,,,,,POINT (2.1400725 41.3672931)
5163670097,41.3659423,2.1394949,3,,,,,POINT (2.1394949 41.3659423)
5163777212,41.436198,2.1882559,3,,,,,POINT (2.1882559 41.436198)
5163777214,41.4353983,2.194489,3,crossing,,,,POINT (2.194489 41.4353983)
5164902089,41.3732237,2.1467391,3,,,,,POINT (2.1467391 41.3732237)
5165633105,41.3745772,2.1490731,3,,,,,POINT (2.1490731 41.3745772)
5165857229,41.3759768,2.1509368,1,crossing,,,,POINT (2.1509368 41.3759768)
5169529371,41.3728187,2.1461953,3,,,,,POINT (2.1461953 41.3728187)
5225050509,41.4522469,2.1857873,1,,,,,POINT (2.1857873 41.4522469)
5225442151,41.3762279,2.1480002,2,,,,,POINT (2.1480002 41.3762279)
5227213296,41.4000359,2.1517026,3,,,,,POINT (2.1517026 41.4000359)
5241929669,41.3928599,2.1440341,3,traffic_signals,,,,POINT (2.1440341 41.3928599)
5241929970,41.3928463,2.1440268,3,,,,,POINT (2.1440268 41.3928463)
5250643030,41.4066253,2.1335353,3,traffic_signals,,,,POINT (2.1335353 41.4066253)
5251907139,41.4387074,2.1484122,1,,,,,POINT (2.1484122 41.4387074)
5254788638,41.4162137,2.1741513,3,,,,,POINT (2.1741513 41.4162137)
5260740738,41.395612,2.1558673,3,,,,,POINT (2.1558673 41.395612)
