osmid,y,x,street_count,highway,ref,railway,geometry
36503098,39.5535458,2.7027738,3,,,,POINT (2.7027738 39.5535458)
36744892,39.5627645,2.6639801,3,,,,POINT (2.6639801 39.5627645)
36744896,39.5629583,2.6680919,3,,,,POINT (2.6680919 39.5629583)
36744909,39.5647692,2.6740405,3,,,,POINT (2.6740405 39.5647692)
36744913,39.5638649,2.6704543,3,,,,POINT (2.6704543 39.5638649)
36744921,39.5630649,2.6619482,4,,,,POINT (2.6619482 39.5630649)
36744925,39.5645355,2.6573169,3,,,,POINT (2.6573169 39.5645355)
36744937,39.5661929,2.6457082,3,,,,POINT (2.6457082 39.5661929)
36745723,39.5693032,2.6412072,3,,,,POINT (2.6412072 39.5693032)
36745724,39.5693512,2.6388849,3,,,,POINT (2.6388849 39.5693512)
36745729,39.5688792,2.6347992,4,,,,POINT (2.6347992 39.5688792)
36745779,39.5535915,2.6245124,3,,,,POINT (2.6245124 39.5535915)
36745781,39.5536467,2.6243346,3,,,,POINT (2.6243346 39.5536467)
36745782,39.5537648,2.6235985,3,,,,POINT (2.6235985 39.5537648)
36745783,39.5538683,2.6234307,3,,,,POINT (2.6234307 39.5538683)
36745785,39.5539963,2.6233903,3,,,,POINT (2.6233903 39.5539963)
36745788,39.5543919,2.6235439,3,,,,POINT (2.6235439 39.5543919)
36745797,39.5516937,2.6173333,3,,,,POINT (2.6173333 39.5516937)
36745804,39.5554322,2.6131315,3,,,,POINT (2.6131315 39.5554322)
36745818,39.5579139,2.5989313,3,motorway_junction,6,,POINT (2.5989313 39.5579139)
36745822,39.5601583,2.6041257,3,motorway_junction,11A,,POINT (2.6041257 39.5601583)
36746614,39.5567779,2.5963642,3,,,,POINT (2.5963642 39.5567779)
142434776,39.5881157,2.6680002,3,motorway_junction,,,POINT (2.6680002 39.5881157)
142434797,39.5833728,2.671069,3,motorway_junction,3A,,POINT (2.671069 39.5833728)
142434829,39.5831121,2.6699606,3,,,,POINT (2.6699606 39.5831121)
142434838,39.56647,2.6452925,3,,,,POINT (2.6452925 39.56647)
142434873,39.5686224,2.6464177,4,,,,POINT (2.6464177 39.5686224)
142434890,39.5692031,2.6464599,3,,,,POINT (2.6464599 39.5692031)
142434896,39.5691991,2.6463902,3,,,,POINT (2.6463902 39.5691991)
142434902,39.5690576,2.6462917,3,,,,POINT (2.6462917 39.5690576)
142434905,39.5689065,2.6462796,3,,,,POINT (2.6462796 39.5689065)
142434925,39.5688689,2.6473175,3,,,,POINT (2.6473175 39.5688689)
142434942,39.5715083,2.6468577,3,,,,POINT (2.6468577 39.5715083)
142434950,39.5692463,2.6463277,3,,,,POINT (2.6463277 39.5692463)
142434965,39.5714679,2.6470956,3,,,,POINT (2.6470956 39.5714679)
142435001,39.5683518,2.6572129,3,,,,POINT (2.6572129 39.5683518)
142435007,39.5689482,2.6569815,4,,,,POINT (2.6569815 39.5689482)
142435044,39.5720381,2.6568382,3,,,,POINT (2.6568382 39.5720381)
142435113,39.5645339,2.6565257,6,,,,POINT (2.6565257 39.5645339)
142435120,39.5725407,2.6422811,4,,,,POINT (2.6422811 39.5725407)
142435136,39.5761486,2.6446209,4,,,,POINT (2.6446209 39.5761486)
142435141,39.5762999,2.6466691,4,,,,POINT (2.6466691 39.5762999)
142435159,39.5769942,2.6474372,4,,,,POINT (2.6474372 39.5769942)
142435163,39.5776283,2.6481252,3,,,,POINT (2.6481252 39.5776283)
142435190,39.5780613,2.6502063,3,,,,POINT (2.6502063 39.5780613)
142435228,39.5762511,2.6534037,3,,,,POINT (2.6534037 39.5762511)
142435257,39.5749308,2.6553294,3,,,,POINT (2.6553294 39.5749308)
142435294,39.5727208,2.6568961,4,,,,POINT (2.6568961 39.5727208)
142435326,39.5750419,2.6556258,3,,,,POINT (2.6556258 39.5750419)
142435363,39.5772929,2.6528916,3,,,,POINT (2.6528916 39.5772929)
142505976,39.551687,2.7035032,3,,,,POINT (2.7035032 39.551687)
142505991,39.5570235,2.7081323,3,,,,POINT (2.7081323 39.5570235)
142506003,39.5596044,2.7100883,3,,,,POINT (2.7100883 39.5596044)
142506025,39.5644591,2.7111431,3,,,,POINT (2.7111431 39.5644591)
142506035,39.5680846,2.7109064,3,,,,POINT (2.7109064 39.5680846)
142506060,39.5823319,2.7112025,3,,,,POINT (2.7112025 39.5823319)
142506328,39.5480226,2.72589,3,,,,POINT (2.72589 39.5480226)
142506418,39.5354756,2.7314201,3,motorway_junction,10,,POINT (2.7314201 39.5354756)
142506450,39.5266087,2.7511412,3,motorway_junction,11,,POINT (2.7511412 39.5266087)
251563766,39.5760009,2.6447007,3,,,,POINT (2.6447007 39.5760009)
251563772,39.5754931,2.645141,3,,,,POINT (2.645141 39.5754931)
251563780,39.5741959,2.645275,3,,,,POINT (2.645275 39.5741959)
251563781,39.5739253,2.6452353,3,,,,POINT (2.6452353 39.5739253)
251563784,39.5728971,2.6450619,3,,,,POINT (2.6450619 39.5728971)
251563792,39.573947,2.6439802,3,,,,POINT (2.6439802 39.573947)
251563795,39.5748577,2.6443329,3,,,,POINT (2.6443329 39.5748577)
251563799,39.576078,2.6435022,3,,,,POINT (2.6435022 39.576078)
251563803,39.5786091,2.6381889,4,,,,POINT (2.6381889 39.5786091)
251563809,39.5795774,2.6361021,3,,,,POINT (2.6361021 39.5795774)
251563813,39.5811573,2.6337266,3,,,,POINT (2.6337266 39.5811573)
251563814,39.5819001,2.6327534,3,,,,POINT (2.6327534 39.5819001)
251563815,39.5825052,2.6318939,3,,,,POINT (2.6318939 39.5825052)
251563816,39.583007,2.6311811,3,,,,POINT (2.6311811 39.583007)
251563819,39.5847948,2.6285807,3,,,,POINT (2.6285807 39.5847948)
251563828,39.5890786,2.6250294,3,,,,POINT (2.6250294 39.5890786)
251563830,39.5890437,2.6247473,3,,,,POINT (2.6247473 39.5890437)
251563833,39.588789,2.6248235,3,,,,POINT (2.6248235 39.588789)
251563844,39.5862387,2.6202707,3,,,,POINT (2.6202707 39.5862387)
251563896,39.5657935,2.6014975,4,,,,POINT (2.6014975 39.5657935)
251563924,39.5626248,2.6067575,3,,,,POINT (2.6067575 39.5626248)
251563929,39.5608427,2.6066063,3,,,,POINT (2.6066063 39.5608427)
