osmid,y,x,street_count,highway,ref,junction,railway,geometry
271739554,52.4966774,13.4710501,3,,,,,POINT (13.4710501 52.4966774)
271747430,52.5116159,13.3845903,3,,,,,POINT (13.3845903 52.5116159)
271759785,52.5163058,13.346054,3,,,,,POINT (13.346054 52.5163058)
271759786,52.5162073,13.3459398,3,,,,,POINT (13.3459398 52.5162073)
271872441,52.5133294,13.4263181,1,,,,,POINT (13.4263181 52.5133294)
271872510,52.5149434,13.4285334,4,,,,,POINT (13.4285334 52.5149434)
271943756,52.4743707,13.5006216,3,,,,,POINT (13.5006216 52.4743707)
271949121,52.4408865,13.5866852,4,,,,,POINT (13.5866852 52.4408865)
271949151,52.4462452,13.6190977,3,,,,,POINT (13.6190977 52.4462452)
271949153,52.4468327,13.6236415,3,,,,,POINT (13.6236415 52.4468327)
271949156,52.4467509,13.6166521,3,,,,,POINT (13.6166521 52.4467509)
271949157,52.4462683,13.616734,3,,,,,POINT (13.616734 52.4462683)
271949158,52.4467957,13.6164558,3,,,,,POINT (13.6164558 52.4467957)
271949159,52.4470614,13.6167072,3,,,,,POINT (13.6167072 52.4470614)
271949161,52.4482688,13.6168185,1,,,,,POINT (13.6168185 52.4482688)
271959434,52.4566126,13.5496455,3,,,,,POINT (13.5496455 52.4566126)
271959435,52.4560068,13.548878,1,,,,,POINT (13.548878 52.4560068)
272069572,52.5318103,13.194562,3,,,,,POINT (13.194562 52.5318103)
272268115,52.4580693,13.1435484,1,,,,,POINT (13.1435484 52.4580693)
272344591,52.500536,13.3317371,3,,,,,POINT (13.3317371 52.500536)
272344600,52.5013498,13.3325479,3,,,,,POINT (13.3325479 52.5013498)
272344603,52.4999693,13.3359658,4,,,,,POINT (13.3359658 52.4999693)
272344609,52.5000687,13.3392322,4,,,,,POINT (13.3392322 52.5000687)
272344611,52.499722,13.3393338,4,,,,,POINT (13.3393338 52.499722)
272357259,52.6010678,13.3102521,3,,,,,POINT (13.3102521 52.6010678)
272359147,52.4967282,13.3845714,4,,,,,POINT (13.3845714 52.4967282)
272383881,52.5221211,13.1961861,1,turning_circle,,,,POINT (13.1961861 52.5221211)
272397580,52.5508843,13.2583743,3,,,,,POINT (13.2583743 52.5508843)
272397583,52.5509771,13.2569918,3,,,,,POINT (13.2569918 52.5509771)
272397593,52.55197,13.2529808,3,,,,,POINT (13.2529808 52.55197)
272397602,52.5519106,13.2502024,3,,,,,POINT (13.2502024 52.5519106)
272397604,52.5523175,13.2492253,3,,,,,POINT (13.2492253 52.5523175)
272410078,52.6366709,13.2920391,4,,,,,POINT (13.2920391 52.6366709)
272410086,52.6363291,13.2940997,3,,,,,POINT (13.2940997 52.6363291)
272427526,52.4870168,13.3311843,3,,,,,POINT (13.3311843 52.4870168)
272427530,52.4870088,13.3308003,3,,,,,POINT (13.3308003 52.4870088)
272433588,52.4895587,13.3367804,3,,,,,POINT (13.3367804 52.4895587)
272438051,52.4895319,13.3377521,3,,,,,POINT (13.3377521 52.4895319)
