y,x,street_count,highway,railway,ref,junction,geometry
41.9139417,12.3885551,3,,,,,POINT (12.3885551 41.9139417)
41.9183048,12.3920938,3,,,,,POINT (12.3920938 41.9183048)
41.9200695,12.3964068,3,,,,,POINT (12.3964068 41.9200695)
41.9202958,12.3967174,3,,,,,POINT (12.3967174 41.9202958)
41.9208316,12.3978104,4,,,,,POINT (12.3978104 41.9208316)
41.9237496,12.4016216,4,,,,,POINT (12.4016216 41.9237496)
41.9246278,12.4065198,3,,,,,POINT (12.4065198 41.9246278)
41.9229919,12.411927,3,,,,,POINT (12.411927 41.9229919)
41.9233805,12.4123163,3,,,,,POINT (12.4123163 41.9233805)
41.9272702,12.4209691,3,,,,,POINT (12.4209691 41.9272702)
41.9263117,12.4228429,3,,,,,POINT (12.4228429 41.9263117)
41.9325632,12.4211593,3,,,,,POINT (12.4211593 41.9325632)
41.93333,12.4209234,2,,,,,POINT (12.4209234 41.93333)
41.9343515,12.4202992,3,,,,,POINT (12.4202992 41.9343515)
41.9366445,12.4231458,3,,,,,POINT (12.4231458 41.9366445)
41.9391907,12.4202916,3,,,,,POINT (12.4202916 41.9391907)
41.9401884,12.4236514,4,,,,,POINT (12.4236514 41.9401884)
41.9391684,12.42236,3,,,,,POINT (12.42236 41.9391684)
41.9394535,12.4238419,4,,,,,POINT (12.4238419 41.9394535)
41.9313567,12.4263381,4,,,,,POINT (12.4263381 41.9313567)
41.9269116,12.426461,3,,,,,POINT (12.426461 41.9269116)
41.9259484,12.4261346,3,,,,,POINT (12.4261346 41.9259484)
41.9196224,12.4227691,3,,,,,POINT (12.4227691 41.9196224)
41.9160413,12.4225072,5,,,,,POINT (12.4225072 41.9160413)
41.9124192,12.4234102,4,,,,,POINT (12.4234102 41.9124192)
41.9094176,12.4248119,3,,,,,POINT (12.4248119 41.9094176)
41.9074916,12.4253554,3,,,,,POINT (12.4253554 41.9074916)
41.9056199,12.4253181,3,,,,,POINT (12.4253181 41.9056199)
41.9048803,12.4248857,3,,,,,POINT (12.4248857 41.9048803)
41.8948842,12.429378,3,,,,,POINT (12.429378 41.8948842)
41.8902971,12.4391898,3,,,,,POINT (12.4391898 41.8902971)
41.8878938,12.4404613,3,,,,,POINT (12.4404613 41.8878938)
41.8770275,12.4426784,4,,,,,POINT (12.4426784 41.8770275)
41.8725906,12.4673625,3,,,,,POINT (12.4673625 41.8725906)
41.8709229,12.4675186,5,,,,,POINT (12.4675186 41.8709229)
41.8722592,12.4736216,3,,,,,POINT (12.4736216 41.8722592)
41.8716326,12.4846826,4,,,,,POINT (12.4846826 41.8716326)
41.8691066,12.4843795,3,,,,,POINT (12.4843795 41.8691066)
