osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,junction,width,bridge,tunnel,access,ref
675813418,tertiary_link,,30,,True,False,15.611677872146053,"LINESTRING (2.3507157 48.8385973, 2.3505983 48.8386344, 2.3505189 48.8386505)",,,,,,
4081713,residential,,30,Rue du Petit Moine,True,False,66.6880119265021,"LINESTRING (2.3510101 48.8380303, 2.3512231 48.8380807, 2.351802 48.8382103, 2.3518716 48.8382256)",,,,,,
237932369,secondary,2,30,Avenue des Gobelins,True,False,52.97486417444032,"LINESTRING (2.3510101 48.8380303, 2.350825 48.8383613, 2.3508039 48.8384038, 2.350764 48.8384783)",,,,,,
"[934245761, 25485138, 553237950]",secondary,4,30,Avenue des Gobelins,False,False,151.33414668332756,"LINESTRING (2.3510101 48.8380303, 2.3510571 48.837961, 2.3511214 48.8378594, 2.3512193 48.8377068, 2.3512624 48.8376436, 2.3515019 48.8372922, 2.3515191 48.8372669, 2.3517399 48.8369694, 2.3518495 48.836787)",,,,,,
53799097,secondary,4,30,Avenue des Gobelins,False,True,44.58491202370576,"LINESTRING (2.3543465 48.8332121, 2.3546065 48.8328495)",,,,,,
48670610,residential,,30,Rue Coypel,True,False,87.5418403902841,"LINESTRING (2.3543465 48.8332121, 2.3545088 48.8332115, 2.3554396 48.8332084, 2.3555425 48.833208)",,,,,,
53799097,secondary,4,30,Avenue des Gobelins,False,False,23.009454587420556,"LINESTRING (2.3543465 48.8332121, 2.354297 48.8332815, 2.3542155 48.8334002)",,,,,,
43904125,primary,3,30,Boulevard de l'Hôpital,False,False,10.108701104307865,"LINESTRING (2.3567612 48.8331727, 2.356823 48.833254)",,,,,,
3630707,residential,,30,Rue Coypel,True,False,89.31782466129155,"LINESTRING (2.3567612 48.8331727, 2.3566653 48.8331792, 2.3565619 48.8331861, 2.3555425 48.833208)",,,,,,
43904125,primary,3,30,Boulevard de l'Hôpital,False,True,45.244331072733786,"LINESTRING (2.3567612 48.8331727, 2.3565845 48.8329295, 2.3565498 48.8328817, 2.3564892 48.8328074)",,,,,,
48670609,residential,,30,Rue Édouard Manet,True,False,166.49344553772613,"LINESTRING (2.3567612 48.8331727, 2.3568485 48.8331448, 2.3569526 48.8331115, 2.3587229 48.8325382, 2.3588028 48.8325125)",,,,,,
"[25485120, 570738515, 570738517, 1293375326]",primary,"['3', '2']",30,Boulevard de l'Hôpital,False,False,285.94917811295903,"LINESTRING (2.3592953 48.8365766, 2.3594234 48.8367493, 2.3594286 48.8367564, 2.3594652 48.8368042, 2.3600116 48.8375188, 2.3603922 48.8380321, 2.3605612 48.8382708, 2.3607217 48.8384976, 2.3607599 48.8385515, 2.3607912 48.8385924, 2.3608013 48.8386056, 2.360867 48.8386914, 2.3608958 48.838729, 2.3610159 48.8388852)",,,,,,
43904125,primary,3,30,Boulevard de l'Hôpital,False,True,90.6037327913645,"LINESTRING (2.3592953 48.8365766, 2.3591426 48.8363716, 2.3591017 48.8363166, 2.3589922 48.8361694, 2.3588916 48.8360344, 2.3587719 48.8358735, 2.3587506 48.8358449)",,,,,,
962516146,residential,,30,Rue Esquirol,True,False,91.76236132419055,"LINESTRING (2.3592953 48.8365766, 2.3593472 48.8364675, 2.3594246 48.8364373, 2.3594676 48.8364, 2.3598406 48.8358472)",,,,,,
"[931976695, 977551262, 1293375327]",residential,2,30,Rue Jeanne d'Arc,False,False,135.9435414882897,"LINESTRING (2.3592953 48.8365766, 2.3591849 48.8366614, 2.3591531 48.8366858, 2.3589079 48.8368741, 2.358142 48.8374623, 2.3580866 48.8375049)",,,,,,
313695844,secondary,2,30,Rue Monge,False,False,56.97928787330049,"LINESTRING (2.3519793 48.84166, 2.3519864 48.841717, 2.3519928 48.8417627, 2.3520414 48.8420918, 2.3520533 48.8421701)",,,,,,
"[313695844, 905466141]",secondary,2,30,Rue Monge,False,True,92.19832713945927,"LINESTRING (2.3519793 48.84166, 2.3519674 48.8415773, 2.3519598 48.841527, 2.351882 48.841014, 2.3518751 48.8409692, 2.3518601 48.8408346)",,,,,,
905466142,secondary,2,30,Rue Monge,False,False,18.56379685234471,"LINESTRING (2.3512679 48.8396902, 2.3513606 48.8398456)",,,,,,
905466142,secondary,2,30,Rue Monge,False,True,63.86807610264451,"LINESTRING (2.3512679 48.8396902, 2.3512188 48.839593, 2.3511956 48.8395495, 2.3509804 48.8391479)",,,,,,
1076642614,secondary,2,30,Rue Monge,False,True,23.966770674879047,"LINESTRING (2.3516349 48.8466037, 2.3517202 48.8463956)",,,,,,
751317794,secondary,2,30,Rue Monge,False,False,65.27921035767814,"LINESTRING (2.3516349 48.8466037, 2.3515537 48.8467132, 2.3515226 48.8467552, 2.3513604 48.846974, 2.3512394 48.8471299)",,,,,,
754579329,tertiary,2,30,Rue du Cardinal Lemoine,False,False,103.04215256875705,"LINESTRING (2.3516349 48.8466037, 2.3517576 48.8466896, 2.351806 48.8467234, 2.3518802 48.8467753, 2.3525997 48.8472787)",,,,,,
1076642615,tertiary,2,30,Rue du Cardinal Lemoine,False,True,44.40688017448882,"LINESTRING (2.3516349 48.8466037, 2.3515336 48.8465132, 2.3512212 48.846313)",,,,,,
166755011,secondary,3,30,Rue de Tolbiac,False,True,12.229783389886226,"LINESTRING (2.363724 48.8266453, 2.3636147 48.826631, 2.3635598 48.8266251)",,,,,,
