osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,junction,bridge,width,access,tunnel
93450323,residential,,,Carrer de Berlín,,False,False,163.84854648746204,"LINESTRING (2.7567289 39.5054063, 2.7575136 39.5054509, 2.7576506 39.5054658, 2.7577072 39.5054951, 2.7580597 39.5061478)",,,,,
93450323,residential,,,Carrer de Berlín,,False,True,114.19628183476736,"LINESTRING (2.7567289 39.5054063, 2.7558701 39.5053733, 2.7553995 39.5053552)",,,,,
43858354,residential,,,carrer K,,False,False,105.65567277431903,"LINESTRING (2.7569182 39.5065044, 2.7580597 39.5061478)",,,,,
29971957,residential,,,carrer H,,False,False,100.84928514449949,"LINESTRING (2.7569182 39.5065044, 2.7570514 39.5072529, 2.7571171 39.5073956)",,,,,
29971957,residential,,,carrer H,,False,True,123.18781197977363,"LINESTRING (2.7569182 39.5065044, 2.7568621 39.5062237, 2.7567289 39.5054063)",,,,,
43858350,residential,,,carrer F,,False,True,122.16417595555644,"LINESTRING (2.7609352 39.5062343, 2.7613398 39.5070566, 2.7613062 39.507139, 2.7611551 39.5072024)",,,,,
43858354,residential,,,carrer K,,False,True,242.44603662945377,"LINESTRING (2.7609352 39.5062343, 2.7607582 39.5058534, 2.7606346 39.5057652, 2.7592552 39.5058168, 2.7586523 39.5060108, 2.7585607 39.5059821)",,,,,
"[47312545, 151619473, 151619476]",residential,,,,,False,False,156.97417208562314,"LINESTRING (2.7609352 39.5062343, 2.7617166 39.5059996, 2.7619919 39.5059183, 2.7626418 39.5057253)",,yes,,,
178086919,residential,,,carrer C,,False,True,177.77605959450736,"LINESTRING (2.7609352 39.5062343, 2.7608296 39.5062654, 2.7590026 39.5068111)",,,,,
43858354,residential,,,carrer K,,False,False,46.765105872083105,"LINESTRING (2.7580597 39.5061478, 2.7585607 39.5059821)",,,,,
43858354,residential,,,carrer K,,False,True,105.65567277431903,"LINESTRING (2.7580597 39.5061478, 2.7569182 39.5065044)",,,,,
93450323,residential,,,Carrer de Berlín,,False,True,163.84854648746202,"LINESTRING (2.7580597 39.5061478, 2.7577072 39.5054951, 2.7576506 39.5054658, 2.7575136 39.5054509, 2.7567289 39.5054063)",,,,,
29971958,residential,,,carrer D,,False,False,168.88506259908135,"LINESTRING (2.7602843 39.5094102, 2.7584698 39.5099993)",,,,,
29971958,residential,,,carrer D,,False,True,118.7699013678565,"LINESTRING (2.7602843 39.5094102, 2.7615682 39.5090106)",,,,,
43858348,residential,,,carrer G,,False,True,97.16152237788904,"LINESTRING (2.7602843 39.5094102, 2.7607828 39.5101948)",,,,,
"[563577640, 43858348]",residential,,,carrer G,,False,"[False, True]",310.72382315350785,"LINESTRING (2.7602843 39.5094102, 2.7601874 39.509071, 2.7600252 39.5087551, 2.7598813 39.5085622, 2.7595735 39.5077451, 2.7594088 39.5074568, 2.7593216 39.5073267, 2.7592117 39.5071818, 2.7590984 39.5069698, 2.7590026 39.5068111)",,,,,
43858350,residential,,,carrer F,,False,False,122.16417595555646,"LINESTRING (2.7611551 39.5072024, 2.7613062 39.507139, 2.7613398 39.5070566, 2.7609352 39.5062343)",,,,,
24413140,residential,,,Camí de les Pedreres,,False,False,146.98347405945321,"LINESTRING (2.7608153 39.510246, 2.7619121 39.5092305)",,,,,
24413140,residential,,,Camí de les Pedreres,,False,True,176.66780976705257,"LINESTRING (2.7608153 39.510246, 2.7594871 39.5114602)",,,,,
43858348,residential,,,carrer G,,False,False,6.339242394495495,"LINESTRING (2.7608153 39.510246, 2.7607828 39.5101948)",,,,,
43858359,residential,,,carrer N,,False,False,95.55021780968539,"LINESTRING (2.7577358 39.511148, 2.757314 39.5103527)",,,,,
43858359,residential,,,carrer N,,False,True,159.29811328942563,"LINESTRING (2.7577358 39.511148, 2.7584352 39.5124751)",,,,,
43858361,residential,,,carrer E,,False,False,108.00597188353034,"LINESTRING (2.7577358 39.511148, 2.7589057 39.5107891)",,,,,
43858361,residential,,,carrer E,,False,True,72.9175376035905,"LINESTRING (2.7577358 39.511148, 2.7569552 39.5114075)",,,,,
24413140,residential,,,Camí de les Pedreres,,False,False,120.6557917931818,"LINESTRING (2.7584352 39.5124751, 2.7593078 39.5116241)",,,,,
24413140,residential,,,Camí de les Pedreres,,False,True,74.79588597782023,"LINESTRING (2.7584352 39.5124751, 2.7578625 39.5129823)",,,,,
43858359,residential,,,carrer N,,False,False,159.29811328942563,"LINESTRING (2.7584352 39.5124751, 2.7577358 39.511148)",,,,,
43860428,unclassified,,,camí del Palmer,,True,False,48.20527074241318,"LINESTRING (2.7610136 39.5173501, 2.760957 39.517426, 2.7608946 39.5174967, 2.7608578 39.5175428, 2.7608329 39.5175857, 2.7608125 39.5176308, 2.7607808 39.5177396)",,,,,
"[43866200, 43866201, 43866202, 43860429]",unclassified,,,"['camí del Palmer', 'carrer Palmer']",,False,False,313.2606503693283,"LINESTRING (2.7610136 39.5173501, 2.7613902 39.5169988, 2.761626 39.5167814, 2.7621782 39.5162783, 2.7624012 39.5160723, 2.762655 39.5158365, 2.7629023 39.5156081, 2.7632112 39.5153327, 2.7633621 39.5151928)",,,,,yes
43860430,unclassified,,,,,True,False,19.251882210630395,"LINESTRING (2.7634633 39.5148267, 2.7634581 39.5147981, 2.7634651 39.5147697, 2.7634837 39.5147447, 2.7635118 39.5147257, 2.7635464 39.5147147, 2.7635837 39.514713)",roundabout,,,,
43860430,unclassified,,,,,True,False,9.610370087441767,"LINESTRING (2.7636197 39.5147207, 2.7636505 39.514737, 2.7636727 39.5147602, 2.7636841 39.5147876)",roundabout,,,,
43860433,motorway_link,1,,,,True,False,7.403887187054029,"LINESTRING (2.7636197 39.5147207, 2.7636656 39.5147375, 2.7636985 39.5147478)",,,,,
"[43866200, 43866201, 43866202, 43860429]",unclassified,,,"['camí del Palmer', 'carrer Palmer']",,False,True,313.2606503693283,"LINESTRING (2.7633621 39.5151928, 2.7632112 39.5153327, 2.7629023 39.5156081, 2.762655 39.5158365, 2.7624012 39.5160723, 2.7621782 39.5162783, 2.761626 39.5167814, 2.7613902 39.5169988, 2.7610136 39.5173501)",,,,,yes
43866203,unclassified,,,carrer Palmer,,True,False,43.728678405036206,"LINESTRING (2.7633621 39.5151928, 2.7634126 39.5151131, 2.7634636 39.5150611, 2.7634782 39.515033, 2.7634875 39.5150019, 2.7634915 39.51497, 2.76349 39.5149453, 2.7634633 39.5148267)",,,,,
43918248,residential,,,,,False,True,82.73813959023589,"LINESTRING (2.7425235 39.581584, 2.7426339 39.5823232)",,,,,
44398633,residential,,,Carrer Pirata,,False,False,176.17906117509324,"LINESTRING (2.7425235 39.581584, 2.7404838 39.5817817)",,,,,
103562807,residential,,,,,False,False,230.97488849575885,"LINESTRING (2.7425235 39.581584, 2.742383 39.5810506, 2.7404031 39.5811966)",,,,,
44398633,residential,,,Carrer Pirata,,False,True,176.17906117509324,"LINESTRING (2.7404838 39.5817817, 2.7425235 39.581584)",,,,,
333496249,residential,,,Carrer Carib,,False,False,27.48144350826132,"LINESTRING (2.7404838 39.5817817, 2.7404589 39.5815353)",,,,,
333496249,residential,,,Carrer Carib,,False,True,258.1731070121778,"LINESTRING (2.7404838 39.5817817, 2.7408223 39.5840888)",,,,,
82289728,residential,,,Carrer del Cèrcol,,False,False,79.43189830293461,"LINESTRING (2.755411 39.5678044, 2.7553101 39.5670943)",,,,,
331179294,residential,,,Carrer del Quadrat,,False,False,51.733690418299545,"LINESTRING (2.755411 39.5678044, 2.7555193 39.5682621)",,,,,
46742815,tertiary,,,Carretera de Manacor,Ma-15D,False,False,77.4132746839235,"LINESTRING (2.755411 39.5678044, 2.7558012 39.5677202, 2.7562872 39.5676367)",,,,,
46742815,tertiary,,,Carretera de Manacor,Ma-15D,False,True,65.9798413158435,"LINESTRING (2.755411 39.5678044, 2.7548942 39.5679708, 2.7547054 39.5680411)",,,,,
43919203,unclassified,,,,,True,False,27.701189932440837,"LINESTRING (2.7505531 39.5684831, 2.7507217 39.5684011, 2.7508257 39.5683493)",,,,,
151626764,unclassified,,,,,False,False,77.24443983050402,"LINESTRING (2.7505531 39.5684831, 2.750374 39.5685726, 2.7501385 39.5687668, 2.7498803 39.5689407)",,,,,
43919204,unclassified,,,,,True,False,26.505767299113128,"LINESTRING (2.7508562 39.5684723, 2.7507735 39.5684583, 2.750702 39.568456, 2.7505531 39.5684831)",,,,,
461942449,tertiary,,,,,True,False,14.57633041243146,"LINESTRING (2.7508562 39.5684723, 2.7508262 39.5684352, 2.7508156 39.5683923, 2.7508257 39.5683493)",roundabout,,,,
143851886,unclassified,,,camí des Prat,,False,True,505.07408124346597,"LINESTRING (2.7498803 39.5689407, 2.7497718 39.5687965, 2.7494855 39.5677853, 2.7489075 39.5657873, 2.748698 39.5650519, 2.7486234 39.5647901, 2.7485481 39.5645872, 2.7485298 39.5645274)",,,,destination,
151626764,unclassified,,,,,False,False,753.2559693191189,"LINESTRING (2.7498803 39.5689407, 2.7496892 39.5690347, 2.7494574 39.5691099, 2.7481137 39.5695076, 2.7466621 39.5699312, 2.7458661 39.5701364, 2.7450685 39.5703168, 2.7442054 39.5704841, 2.7435831 39.5705815, 2.7427081 39.5706605, 2.7422527 39.57069, 2.7418854 39.5707034, 2.7414683 39.5707028)",,,,,
151626764,unclassified,,,,,False,True,77.24443983050402,"LINESTRING (2.7498803 39.5689407, 2.7501385 39.5687668, 2.750374 39.5685726, 2.7505531 39.5684831)",,,,,
43919207,primary,1,,,Ma-5013,True,False,28.32885737885579,"LINESTRING (2.7694355 39.5588673, 2.7696568 39.5590565)",,,,,
43919206,primary,2,,camí de la Síquia,Ma-5013,False,False,1062.3587563820292,"LINESTRING (2.7694355 39.5588673, 2.7680189 39.5571954, 2.7676587 39.5567605, 2.7657614 39.5544022, 2.7655545 39.554223, 2.7652441 39.5540231, 2.7640577 39.5533625, 2.7613389 39.5518487)",,,,,
43919209,primary,1,,,Ma-5013,True,False,12.471229537968236,"LINESTRING (2.769876 39.5593259, 2.7699108 39.5594348)",,,,,
566312554,primary,,,,Ma-5013,True,False,11.060738014904029,"LINESTRING (2.769876 39.5593259, 2.7698176 39.5593616, 2.7697668 39.5593768)",roundabout,,,,
43919208,primary,1,,,Ma-5013,True,False,13.927910555975995,"LINESTRING (2.7699108 39.5594348, 2.7697668 39.5593768)",,,,,
461942450,primary,,,camí de la Síquia,Ma-5013,False,True,628.0398811143435,"LINESTRING (2.7699108 39.5594348, 2.7705921 39.5602403, 2.7714246 39.5612245, 2.7726261 39.5626449, 2.7739127 39.5641658)",,,,,
43994294,residential,1,,camí del Pou Comú,,False,False,449.8602264745776,"LINESTRING (2.614653 39.6208495, 2.6149863 39.6211641, 2.6150802 39.6212963, 2.6152601 39.6216832, 2.6154694 39.6222497, 2.6157714 39.6229318, 2.6158178 39.6234037, 2.615873 39.6242461, 2.6159218 39.6243569, 2.6160172 39.6243569, 2.6161465 39.6243089, 2.6163269 39.624251)",,,,,
819365031,tertiary,2,,camí del Molí del Comte,Ma-1042,False,False,355.07323620165266,"LINESTRING (2.614653 39.6208495, 2.6148682 39.6206646, 2.6151278 39.6204719, 2.6155506 39.6202053, 2.6164079 39.6198476, 2.6172284 39.6197319, 2.6180015 39.6196951, 2.6183339 39.6196885)",,,,,
