osmid,y,x,street_count,highway,ref,railway,junction,geometry
45224044,50.0969285,8.6677038,4,,,,,POINT (8.6677038 50.0969285)
45224048,50.095952,8.6665318,4,,,,,POINT (8.6665318 50.095952)
45224068,50.0984767,8.6694837,3,,,crossing,,POINT (8.6694837 50.0984767)
45232779,50.0995559,8.673051,3,,,,,POINT (8.673051 50.0995559)
45232781,50.0996208,8.6730012,3,,,,,POINT (8.6730012 50.0996208)
45232786,50.1005108,8.671967,4,,,,,POINT (8.671967 50.1005108)
45232789,50.1017926,8.6705444,3,,,,,POINT (8.6705444 50.1017926)
45232793,50.0998649,8.6749854,3,,,,,POINT (8.6749854 50.0998649)
45232809,50.099103,8.6740738,3,,,,,POINT (8.6740738 50.099103)
45232829,50.098124,8.6735667,4,,,,,POINT (8.6735667 50.098124)
45242376,50.0983623,8.6798563,3,,,,,POINT (8.6798563 50.0983623)
45242384,50.1006135,8.6837862,4,traffic_signals,,,,POINT (8.6837862 50.1006135)
47908628,50.1737948,8.6047534,1,,,,,POINT (8.6047534 50.1737948)
47998035,50.1143052,8.5515035,4,,,,,POINT (8.5515035 50.1143052)
47998041,50.1137347,8.5514776,4,,,,,POINT (8.5514776 50.1137347)
47998049,50.1131545,8.5514342,4,,,,,POINT (8.5514342 50.1131545)
47998054,50.1123703,8.5513842,3,,,,,POINT (8.5513842 50.1123703)
47998064,50.1111931,8.5513303,3,,,,,POINT (8.5513303 50.1111931)
47998104,50.1096192,8.5502116,3,,,,,POINT (8.5502116 50.1096192)
47998140,50.10821,8.5486344,4,,,,,POINT (8.5486344 50.10821)
47998156,50.1140491,8.5484881,4,,,,,POINT (8.5484881 50.1140491)
47998162,50.1134915,8.5486273,4,,,,,POINT (8.5486273 50.1134915)
47998170,50.1130966,8.5487249,3,,,,,POINT (8.5487249 50.1130966)
47998176,50.1129331,8.5487763,3,,,,,POINT (8.5487763 50.1129331)
47998185,50.1124169,8.5488989,3,,,,,POINT (8.5488989 50.1124169)
47998192,50.1113306,8.5492073,3,,,,,POINT (8.5492073 50.1113306)
47998213,50.1127747,8.5473317,1,,,,,POINT (8.5473317 50.1127747)
47998269,50.1130573,8.5499759,1,,,,,POINT (8.5499759 50.1130573)
47998282,50.1131049,8.5504038,1,,,,,POINT (8.5504038 50.1131049)
47998310,50.1136222,8.5527479,3,,,,,POINT (8.5527479 50.1136222)
47998315,50.1136666,8.5502918,1,,,,,POINT (8.5502918 50.1136666)
47998316,50.1136159,8.549851,1,,,,,POINT (8.549851 50.1136159)
47998375,50.1141759,8.5496879,1,,,,,POINT (8.5496879 50.1141759)
47998382,50.1142172,8.5501184,1,,,,,POINT (8.5501184 50.1142172)
47998401,50.1076741,8.5493334,3,,,,,POINT (8.5493334 50.1076741)
