osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
"[931616773, 603022119, 914791432, 905246827, 126304603]",secondary,3,50,Plaça de Catalunya,True,False,115.73284213194275,"LINESTRING (2.1701343 41.3857494, 2.1700047 41.3859007, 2.1699754 41.3859349, 2.169774 41.3861586, 2.1697669 41.3861671, 2.1697538 41.3861828, 2.1694773 41.386515, 2.1694546 41.3865427, 2.169434 41.3865661, 2.1693842 41.3866248)",,,,,,,,
"[542956869, 542956870, 542956871, 20475367, 542956873, 931358907, 257568507]",secondary,5,50,Ronda de la Universitat,True,False,211.04388524577166,"LINESTRING (2.1685651 41.3873921, 2.1682516 41.387276, 2.1681863 41.3872512, 2.1679342 41.3871582, 2.1678839 41.3871431, 2.1675872 41.387034, 2.1673875 41.3869606, 2.1672819 41.3869216, 2.1670202 41.3868266, 2.1669825 41.3868121, 2.166819 41.3867511, 2.1664239 41.3866121, 2.1662922 41.3865594)",,,,,,,,
"[962829744, 1235276476, 1235264093, 893745919]",residential,"['3', '2']",30,Rambla de Catalunya,False,True,145.38380707271327,"LINESTRING (2.1685651 41.3873921, 2.1683417 41.387497, 2.1683137 41.3875194, 2.1682093 41.3875966, 2.1681398 41.387648, 2.1673514 41.3882245, 2.1673423 41.3882322, 2.1673163 41.3882541, 2.1672895 41.3882767)",,,,7,,,,
"[20042722, 1213183375]",secondary,5,50,Plaça d'Urquinaona,True,False,51.83407187361554,"LINESTRING (2.1723496 41.3888075, 2.1724133 41.3887584, 2.1726034 41.3886118, 2.1726442 41.3885804, 2.1726843 41.3885536, 2.1727801 41.3884717)",,,,,,,,
"[556115013, 889928966, 887044711, 519375847, 68506254]",secondary,5,50,Ronda de Sant Pere,True,False,195.72067005795677,"LINESTRING (2.1723496 41.3888075, 2.1722292 41.3887626, 2.1719913 41.3886728, 2.1715004 41.3884889, 2.1710161 41.388309, 2.1706501 41.3881731, 2.1705016 41.3881143, 2.1704112 41.3880803, 2.1702504 41.3880216)",,,,,,,,
"[772016656, 295215809, 532631875, 68506253]",secondary,"['5', '4']","['30', '50']",Ronda de la Universitat,True,False,151.4308305623599,"LINESTRING (2.1662922 41.3865594, 2.1661078 41.3864851, 2.165526 41.386267, 2.1653473 41.3862025, 2.1651513 41.3861307, 2.1650702 41.3861005, 2.1649732 41.3860636, 2.1649253 41.3860472, 2.1646668 41.3859535)",,,,"['14', '11']",,,,
68506265,secondary,3,50,Carrer de Balmes,True,False,107.8076766101805,"LINESTRING (2.1662922 41.3865594, 2.1664534 41.3864092, 2.1668521 41.3861306, 2.167006 41.3860167, 2.1671666 41.3859023, 2.1671987 41.3858818, 2.1672066 41.3858765)",,,,,,,,
304693491,tertiary,4,50,Passeig de Gràcia,True,False,12.050669690095646,"LINESTRING (2.16837 41.389593, 2.1682792 41.3896491, 2.1682542 41.3896564)",,,,8,,,,
545718428,primary,2,50,Gran Via de les Corts Catalanes,True,False,15.586844543245022,"LINESTRING (2.16837 41.389593, 2.1685077 41.3896272, 2.1685474 41.389637)",,,C-31,14,,,,
"[248565672, 1104543532]",secondary,4,50,Ronda de Sant Pere,True,False,124.62391250957955,"LINESTRING (2.1736889 41.3893033, 2.1735115 41.3892385, 2.1734111 41.3892018, 2.1733702 41.3891869, 2.1728768 41.3890067, 2.1727338 41.3889545, 2.1726746 41.3889329, 2.1726681 41.3889307, 2.1726523 41.3889246, 2.1724132 41.3888374, 2.1723496 41.3888075)",,,,,,,,
"[34608163, 584532229]",secondary_link,4,50,Plaça d'Urquinaona,True,False,49.31081404404174,"LINESTRING (2.1736889 41.3893033, 2.1736292 41.389452, 2.173626 41.3894558, 2.1736195 41.3894645, 2.1735878 41.3894979, 2.1734065 41.3896867)",,,,,,,,
237910182,residential,2,30,Carrer del Bruc,True,False,108.37562974718794,"LINESTRING (2.1753258 41.3899292, 2.1753694 41.3898965, 2.1754936 41.3898042, 2.1755209 41.389783, 2.1757693 41.3895897, 2.1760078 41.3894078, 2.1760282 41.3893913, 2.1762283 41.3892283)",,,,,,,,
"[546133684, 511211614]",secondary,4,50,Ronda de Sant Pere,True,False,153.34368102917858,"LINESTRING (2.1753258 41.3899292, 2.1751258 41.3898555, 2.1750298 41.3898189, 2.1746196 41.3896622, 2.174405 41.389585, 2.1740792 41.3894678, 2.1740373 41.3894528, 2.1739949 41.3894375, 2.1739462 41.3894189, 2.1736889 41.3893033)",,,,,,,,
"[546184105, 237566135]",secondary,3,50,Carrer de Trafalgar,True,False,137.0306671981182,"LINESTRING (2.1762283 41.3892283, 2.1764709 41.3894054, 2.1764716 41.3894059, 2.1764867 41.389417, 2.176903 41.389722, 2.1769405 41.3897513, 2.1772217 41.3899686, 2.1772564 41.3899932, 2.1773652 41.3900703, 2.1773975 41.3900937)",,,,,,,,
546184105,secondary,3,50,Carrer de Trafalgar,True,False,41.50430622233758,"LINESTRING (2.1758863 41.3889575, 2.1760227 41.3890608, 2.1760538 41.3890847, 2.1761528 41.3891609, 2.1762283 41.3892283)",,,,,,,,
"[237566144, 1206381001, 1213857011, 20044319]","['living_street', 'residential']",,"['30', '10']","['Carrer de les Jonqueres', ""Carrer d'Ortigosa""]",True,False,328.90977364528726,"LINESTRING (2.1737424 41.3889558, 2.1737644 41.38891, 2.1737731 41.3888915, 2.1742953 41.3877983, 2.1743157 41.3877557, 2.17436 41.3877893, 2.1743833 41.3878069, 2.1748607 41.3881685, 2.1748862 41.3881881, 2.1757093 41.3888214, 2.1757448 41.3888487, 2.1758863 41.3889575)",,,,,,,,
237725943,secondary,3,50,Carrer de Trafalgar,True,False,178.85045984454337,"LINESTRING (2.1737424 41.3889558, 2.1739023 41.3889554, 2.1756659 41.3889572, 2.175684 41.3889572, 2.1758863 41.3889575)",,,,,,,,
"[532696001, 545718433]",primary,5,50,Gran Via de les Corts Catalanes,True,False,132.5823867088689,"LINESTRING (2.1608564 41.3838266, 2.1610161 41.3839475, 2.161607 41.3844029, 2.1616377 41.3844258, 2.1617891 41.3845446, 2.1618194 41.3845684, 2.1619691 41.3846778)",,,C-31,12,,,,
"[550280513, 237506925]",tertiary,3,50,Carrer de Casanova,True,False,150.43737922894957,"LINESTRING (2.1608564 41.3838266, 2.1607336 41.3839201, 2.1606911 41.3839518, 2.1606726 41.3839653, 2.1605811 41.3840342, 2.1598054 41.3846191, 2.1595845 41.3847856)",,,,,,,,
328020785,secondary,2,50,Carrer de Muntaner,True,False,19.157931095647402,"LINESTRING (2.1619691 41.3846778, 2.1620358 41.384623, 2.1620422 41.3846177, 2.1620652 41.3845981, 2.1621048 41.3845673, 2.1621251 41.3845514)",,,,,,,,
532696011,primary,5,50,Gran Via de les Corts Catalanes,True,False,134.54084585362455,"LINESTRING (2.1619691 41.3846778, 2.1620328 41.3847272, 2.1621383 41.3848092, 2.1629568 41.3854331, 2.1629924 41.3854603, 2.1631006 41.3855399)",,,C-31,12,,,,
316582580,primary,5,50,Gran Via de les Corts Catalanes,True,False,133.7151773981865,"LINESTRING (2.1574616 41.3812781, 2.1576061 41.3813872, 2.1582156 41.3818472, 2.1583982 41.3819822, 2.1584227 41.3820006, 2.1585319 41.382082, 2.1585938 41.3821292)",,,C-31,12,,,,
