osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
690046004,residential,2,,Strada Galați,False,,False,195.69904089891736,"LINESTRING (23.6279255 46.7757236, 23.6279438 46.7756656, 23.6279929 46.7754968, 23.6280156 46.7754185, 23.6280418 46.7753072, 23.6280486 46.7752195, 23.6280294 46.7749702, 23.628043 46.7749078, 23.6282442 46.77438, 23.6283921 46.7740035)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,False,21.360959567599785,"LINESTRING (23.6277558 46.7762034, 23.62803 46.7762439)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,True,202.70807515564707,"LINESTRING (23.6277558 46.7762034, 23.6265235 46.7760108, 23.6260225 46.7759357, 23.6256979 46.775882, 23.625428 46.7758465, 23.6252481 46.7758194, 23.6251582 46.7758058)",,,,,,
466611274,residential,2,RO:urban,Strada Galați,False,,True,54.96012118499958,"LINESTRING (23.6277558 46.7762034, 23.6277847 46.7761516, 23.6278674 46.775881, 23.6279255 46.7757236)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,False,181.60847575039185,"LINESTRING (23.6370277 46.7776392, 23.6374797 46.7777084, 23.6382328 46.7778236, 23.6383526 46.7778401, 23.6386631 46.7778827, 23.6388174 46.7779104, 23.6393511 46.7780061)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,True,59.73786229833236,"LINESTRING (23.6370277 46.7776392, 23.6368405 46.7776132, 23.6363243 46.7775355, 23.6362607 46.7775265)",,,,,,
31666681,residential,2,RO:urban,Strada Harghita,False,,False,100.67200730675253,"LINESTRING (23.638368 46.7797653, 23.6388419 46.7789201)",,,,,,
31620664,residential,2,RO:urban,Strada Bega,False,,True,258.6382115740929,"LINESTRING (23.638368 46.7797653, 23.6396153 46.7799835, 23.6405685 46.7801502, 23.6406209 46.7801593, 23.6416595 46.7803394)",,,,,,
"[464710400, 31585718]",residential,"['1', '2']",RO:urban,Strada Dionisie Roman,False,,True,369.9299174899159,"LINESTRING (23.638368 46.7797653, 23.6376536 46.7796391, 23.6376174 46.7796088, 23.6376103 46.7795729, 23.6376187 46.7794343, 23.6376107 46.7794012, 23.6375946 46.77937, 23.6375463 46.7793379, 23.6374886 46.7793147, 23.6364216 46.7791454, 23.635382 46.7789667, 23.635092 46.7789207, 23.6350398 46.7789108, 23.6349899 46.7788797, 23.6349526 46.7788337, 23.6349488 46.7787707, 23.634973 46.7786112, 23.635025 46.7784176, 23.6350451 46.7783928, 23.6350805 46.7783714, 23.6351135 46.7783552, 23.6351591 46.7783487, 23.6352824 46.7783466)",,,,,,
318577002,tertiary,2,RO:urban,Strada Dunării,False,,False,234.3728101735667,"LINESTRING (23.6393511 46.7780061, 23.6422928 46.778626)",,,,,,
