osmid,y,x,highway,street_count,ref,junction,geometry
305397488,40.4070168,-3.7348921,,4,,,POINT (-3.7348921 40.4070168)
305397490,40.4061894,-3.7349112,,4,,,POINT (-3.7349112 40.4061894)
305397491,40.4060429,-3.7328649,,4,,,POINT (-3.7328649 40.4060429)
305397494,40.4052283,-3.7331524,,3,,,POINT (-3.7331524 40.4052283)
305397495,40.4051395,-3.7333276,,3,,,POINT (-3.7333276 40.4051395)
305397496,40.4049481,-3.7332617,,3,,,POINT (-3.7332617 40.4049481)
305397497,40.405103,-3.7329447,,3,,,POINT (-3.7329447 40.405103)
305397501,40.4047171,-3.7344252,,3,,,POINT (-3.7344252 40.4047171)
305397503,40.4055253,-3.7348885,,3,,,POINT (-3.7348885 40.4055253)
305397504,40.4047892,-3.7348505,,3,,,POINT (-3.7348505 40.4047892)
305397505,40.4047382,-3.7373365,,3,,,POINT (-3.7373365 40.4047382)
305397506,40.4050125,-3.7348614,,3,,,POINT (-3.7348614 40.4050125)
305397510,40.4051647,-3.7373772,,3,,,POINT (-3.7373772 40.4051647)
305397511,40.4051989,-3.7358496,,3,,,POINT (-3.7358496 40.4051989)
305397512,40.4056133,-3.7358669,,3,,,POINT (-3.7358669 40.4056133)
305397513,40.4053756,-3.7374144,,3,,,POINT (-3.7374144 40.4053756)
305397514,40.4054054,-3.7358553,,3,,,POINT (-3.7358553 40.4054054)
305397518,40.4057734,-3.737468,,3,,,POINT (-3.737468 40.4057734)
305397519,40.4057946,-3.7361753,,3,,,POINT (-3.7361753 40.4057946)
305397527,40.4062077,-3.7370036,,2,,,POINT (-3.7370036 40.4062077)
305397533,40.4073727,-3.7416773,,3,,,POINT (-3.7416773 40.4073727)
305397537,40.4066806,-3.7367999,,3,,,POINT (-3.7367999 40.4066806)
305397539,40.4072816,-3.7392518,,4,,,POINT (-3.7392518 40.4072816)
305397544,40.4075832,-3.7382691,,3,,,POINT (-3.7382691 40.4075832)
305397547,40.4065446,-3.7383707,,3,,,POINT (-3.7383707 40.4065446)
305397551,40.4077133,-3.7400515,,3,,,POINT (-3.7400515 40.4077133)
305397552,40.4079036,-3.7399688,,3,,,POINT (-3.7399688 40.4079036)
305397553,40.4063878,-3.7396081,,3,,,POINT (-3.7396081 40.4063878)
305397554,40.4069278,-3.741779,,4,,,POINT (-3.741779 40.4069278)
305397556,40.407008,-3.742342,,3,,,POINT (-3.742342 40.407008)
305397557,40.4074355,-3.7431558,,3,,,POINT (-3.7431558 40.4074355)
305397558,40.4077679,-3.7417537,,3,,,POINT (-3.7417537 40.4077679)
305397561,40.4073722,-3.7434772,,3,,,POINT (-3.7434772 40.4073722)
305397562,40.4072508,-3.7440525,,3,,,POINT (-3.7440525 40.4072508)
305397563,40.4068433,-3.7438865,,4,,,POINT (-3.7438865 40.4068433)
305397564,40.4059719,-3.7432137,,4,,,POINT (-3.7432137 40.4059719)
305397565,40.4067059,-3.7445263,,3,,,POINT (-3.7445263 40.4067059)
305397566,40.4054155,-3.7452089,,3,,,POINT (-3.7452089 40.4054155)
305397567,40.4054175,-3.7436666,,4,,,POINT (-3.7436666 40.4054175)
305397570,40.4083603,-3.7392953,,3,,,POINT (-3.7392953 40.4083603)
305397576,40.4087663,-3.7408587,,3,,,POINT (-3.7408587 40.4087663)
305397579,40.4089497,-3.7405389,,3,,,POINT (-3.7405389 40.4089497)
